device_src,flow,mean_n_packets_ida,stdev_n_packets_ida,mean_n_bytes_ida,stdev_n_bytes_ida,mean_timestamp_start_ida,stdev_timestamp_start_ida,mean_timestamp_end_ida,stdev_timestamp_end_ida,mean_inter_arrival_ida,stdev_inter_arrival_ida,mean_n_packets_volta,stdev_n_packets_volta,mean_n_bytes_volta,stdev_n_bytes_volta,mean_timestamp_start_volta,stdev_timestamp_start_volta,mean_timestamp_end_volta,stdev_timestamp_end_volta,mean_inter_arrival_volta,stdev_inter_arrival_volta,n_packets_total,n_bytes_total
08:21:ef:3b:fc:e3,101.79.148.198192.168.1.239,5.25,9.093266739736606,2563.0,4439.246219799033,368736412.8059142,638670201.5805347,368736414.551693,638670204.6043122,0.0012025,0.002082791096101575,7.5,8.170067319184096,450.75,780.7219015116715,1474961570.4434404,9193.517152886026,1474961575.436007,9192.278785917124,0.41188175,0.7119395940044264,51,12055
14:cc:20:51:33:ea,104.98.34.193192.168.1.239,3.6666666666666665,3.7712361663282534,93.0,87.68124086713189,1474902814.1077082,21.821501344626487,1474902818.516853,16.722719296152654,0.27934200000000003,0.3950492449404251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,279
44:65:0d:56:cc:d3,107.170.224.8192.168.1.240,1.0,0.0,56.0,0.0,1474904439.571639,3500.0078126073404,1474904439.571639,3500.0078126073404,0.0,0.0,1.0,0.0,56.0,0.0,1474904439.418153,3500.007818959212,1474904439.418153,3500.007818959212,0.0,0.0,82,4592
44:65:0d:56:cc:d3,107.170.224.8192.168.1.240,1.0,0.0,56.0,0.0,1474940575.5630255,16644.44282070957,1474940575.5630255,16644.44282070957,0.0,0.0,1.0,0.0,56.0,0.0,1474940575.4095604,16644.442815653005,1474940575.4095604,16644.442815653005,0.0,0.0,368,20608
44:65:0d:56:cc:d3,107.170.224.8192.168.1.240,1.0,0.0,56.0,0.0,1474977737.7774525,3905.2143274838813,1474977737.7774525,3905.2143274838813,0.0,0.0,1.0,0.0,56.0,0.0,1474977737.623981,3905.214293051583,1474977737.623981,3905.214293051583,0.0,0.0,90,5040
14:cc:20:51:33:ea,111.206.200.2192.168.1.239,1.0,0.0,0.0,0.0,1474946604.084639,311.0188828537226,1474946604.084639,311.0188828537226,0.0,0.0,0.1111111111111111,0.31426968052735443,0.0,0.0,163882901.34262243,463530843.4395771,163882901.34262243,463530843.4395771,0.0,0.0,10,0
14:cc:20:51:33:ea,111.206.200.2192.168.1.239,2.25,2.165063509461097,103.75,179.70027128527101,1474970641.774515,182.5991952975368,1474970642.5159907,183.4197377382955,0.107432,0.18607768235873964,2.0,2.9154759474226504,189.0,327.3576026305178,737485336.095486,737485336.095496,737485336.7593772,737485336.7593875,0.0734255,0.1271766965711486,17,1171
14:cc:20:51:33:ea,111.206.200.2192.168.1.239,1.0,0.0,0.0,0.0,1474972111.8122997,176.60267870424326,1474972111.8122997,176.60267870424326,0.0,0.0,0.6666666666666666,0.4714045207910317,0.0,0.0,983314681.754872,695308479.5091728,983314681.754872,695308479.5091728,0.0,0.0,5,0
14:cc:20:51:33:ea,111.206.200.2192.168.1.239,1.0,0.0,0.0,0.0,1474924406.180678,306.71621233267575,1474924406.180678,306.71621233267575,0.0,0.0,0.1111111111111111,0.31426968052735443,0.0,0.0,163880435.86654747,463523870.0201712,163880435.86654747,463523870.0201712,0.0,0.0,10,0
14:cc:20:51:33:ea,111.206.200.2192.168.1.239,2.3333333333333335,1.8856180831641267,90.33333333333333,127.7506251343696,1474968495.5302258,176.33130001120935,1474968496.5062993,177.32388499510122,0.30047399999999996,0.42493440594049336,2.6666666666666665,2.3570226039551585,252.0,356.38181771801993,1474968496.227214,176.30339815441002,1474968497.1138012,177.2044764346836,0.21074266666666666,0.2980351373706724,15,1027
